file_size,entropy,files_in_window,extension_risk,modification_rate,label
461551,3.8848,3,0,1.03,0
4087888,6.139,40,1,13.29,1
1852249,7.1416,27,1,8.78,1
153312,4.3759,2,0,1.78,0
288004,3.2513,4,0,0.59,0
3555902,7.898,50,1,6.41,1
120893,7.6549,50,1,9.05,1
1038,3.799,3,0,0.32,0
56472,2.7936,1,0,0.65,0
279196,5.4843,1,0,0.57,0
164388,2.8948,3,0,1.85,0
46974,2.5895,3,0,1.76,0
319872,7.3034,17,1,26.31,1
107128,5.3413,3,0,0.79,0
3975241,7.3918,45,1,19.22,1
684,4.6538,1,0,1.46,0
120706,4.6976,1,0,0.68,0
308983,5.4292,3,0,1.13,0
4946787,6.5771,8,1,20.03,1
108415,5.3562,3,0,1.26,0
14767,6.3726,16,1,18.94,1
1856846,6.7147,31,1,14.53,1
804614,7.1843,14,1,16.67,1
23818,3.5411,4,0,1.2,0
2180151,6.0328,45,1,8.66,1
59100,5.0407,3,0,1.54,0
217539,3.6776,2,0,0.85,0
72199,4.4076,2,0,1.31,0
2774452,6.0405,40,1,26.2,1
1203207,7.5393,20,1,20.43,1
63088,6.5861,11,1,16.19,1
52911,2.8421,3,0,1.35,0
3459765,7.7752,38,1,7.47,1
3227086,7.6003,20,1,12.37,1
177197,7.1627,49,1,15.6,1
242386,4.8233,4,0,0.22,0
30010,4.5292,1,0,0.84,0
234588,4.0127,1,0,1.92,0
2321455,6.3152,17,1,18.08,1
88543,4.0238,4,0,1.68,0
3927930,7.1116,29,1,18.3,1
218829,3.1603,3,0,0.48,0
261550,2.9161,1,0,1.44,0
225217,5.3695,4,0,0.18,0
3290944,6.6889,29,1,6.03,1
4410004,6.5231,14,1,27.75,1
133857,4.7833,4,0,1.97,0
4437881,7.0847,8,1,10.15,1
2123777,6.8588,19,1,26.56,1
3746459,6.5785,21,1,14.27,1
10413,2.5861,3,0,1.21,0
69467,3.5645,4,0,1.63,0
480748,5.4129,2,0,1.1,0
314758,2.7129,4,0,0.16,0
3502411,6.7288,45,1,15.51,1
164558,5.4019,3,0,1.12,0
23092,3.2035,2,0,0.98,0
21349,2.9753,4,0,1.26,0
73693,3.3034,2,0,1.59,0
2046836,6.2431,30,1,7.85,1
337579,5.2903,2,0,0.59,0
306217,2.5425,2,0,1.59,0
2674234,7.1035,27,1,8.17,1
1886671,7.0067,26,1,23.46,1
669578,6.5399,19,1,17.75,1
3731639,7.9071,26,1,25.73,1
110544,2.5105,2,0,0.12,0
2314399,6.4048,34,1,14.37,1
2289918,6.9203,12,1,19.06,1
1008812,6.9435,38,1,7.22,1
275830,3.6656,2,0,0.64,0
1500640,7.3574,34,1,28.08,1
4227639,6.092,27,1,12.27,1
1619630,6.9233,29,1,12.22,1
199209,5.0125,4,0,0.6,0
373802,2.8418,1,0,1.28,0
352752,2.6816,2,0,1.71,0
164527,6.6736,50,1,20.43,1
121212,2.8681,3,0,1.36,0
495516,3.778,3,0,1.3,0
4904947,6.1779,31,1,16.41,1
3187823,7.8815,12,1,18.35,1
679224,7.3054,40,1,18.42,1
307142,3.2581,1,0,0.62,0
3607995,6.1433,31,1,28.75,1
1546152,7.8362,8,1,9.27,1
2526564,6.3557,11,1,5.01,1
184633,3.8847,1,0,0.87,0
3344254,6.9737,12,1,7.08,1
3948068,7.0067,28,1,20.64,1
227599,3.1564,3,0,1.35,0
400206,5.282,1,0,0.93,0
390802,2.833,3,0,1.05,0
4032944,7.4707,45,1,6.03,1
138707,2.5732,3,0,1.09,0
61165,7.0196,47,1,25.94,1
2298155,6.1263,10,1,19.16,1
2126570,7.7771,30,1,24.86,1
334951,5.2019,1,0,1.43,0
70232,4.5858,4,0,1.19,0
2876869,7.5668,35,1,21.25,1
1730659,7.7125,27,1,9.64,1
3282400,6.3747,14,1,8.04,1
273610,6.4186,27,1,14.06,1
337593,4.4638,4,0,1.84,0
223720,3.1497,1,0,0.74,0
354361,2.6373,4,0,0.74,0
1895223,7.9699,40,1,23.83,1
1750629,6.7706,37,1,21.15,1
1044693,6.8958,30,1,10.22,1
4740672,6.5878,8,1,17.06,1
3382060,6.5465,11,1,7.3,1
473493,2.837,3,0,1.4,0
399141,5.1904,4,0,1.73,0
464591,4.4815,2,0,0.53,0
93939,3.6413,3,0,0.18,0
109512,4.3982,4,0,0.42,0
4085722,6.7973,36,1,10.34,1
1325496,6.8385,36,1,27.58,1
134625,2.5387,4,0,1.44,0
349291,3.6913,4,0,1.45,0
3220515,6.122,31,1,15.2,1
372697,2.9581,4,0,1.01,0
243771,4.6227,4,0,1.43,0
403205,3.5002,4,0,1.55,0
1000294,6.5366,49,1,20.47,1
2631476,7.1675,22,1,12.46,1
4596035,7.928,14,1,17.01,1
775162,7.2419,40,1,26.39,1
